player_name,position,injury_type,status,practice_participation,team,source,scraped_at
Roy Lopez,DT,Groin,Questionable,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Garrett Williams,CB,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Max Melton,CB,Toe,Questionable,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Dadrion Taylor-Demerson,S,Back,Out,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Hjalte Froholdt,C,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Andrew Billings,DT,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Starling Thomas V,CB,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Will Johnson,CB,Neck,IR,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Mack Wilson Sr.,LB,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Budda Baker,S,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Kendrick Bourne,WR,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Chad Ryland,PK,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Josh Fryar,OT,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Tyler Allgeier,RB,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Jacoby Brissett,QB,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Marvin Harrison Jr.,WR,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Michael Wilson,WR,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Jeremiyah Love,RB,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Trey McBride,TE,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Isaac Seumalo,G,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Isaiah Adams,G,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Carson Beck,QB,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Reggie Virgil,WR,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Jack Gibbens,LB,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Cody Simon,LB,,Active,,Arizona Cardinals,ESPN,2026-09-26 08:59:30.671283
Kyle Pitts Sr.,TE,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Nick Folk,PK,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Brian Robinson Jr.,RB,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Michael Penix Jr.,QB,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Drake London,WR,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Bijan Robinson,RB,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Jack Strand,QB,Coach's Decision,Out,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Billy Bowman Jr.,CB,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Cooper Rush,QB,Coach's Decision,Out,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Robert Longerbeam,CB,Coach's Decision,Out,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Ethan Onianwa,OT,Coach's Decision,Out,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Malcolm DeWalt IV,CB,Coach's Decision,Out,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Samson Ebukam,DE,Hamstring,Out,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Jawaan Taylor,OT,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Zach Harrison,DE,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Nick Muse,TE,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Brandon Dorlus,DT,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
C.J. Henderson,CB,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Tua Tagovailoa,QB,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
A.J. Terrell Jr.,CB,Groin,IR,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Zachariah Branch,WR,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Austin Hooper,TE,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Olamide Zaccheaus,WR,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Jahan Dotson,WR,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Chris Lindstrom,G,,Active,,Atlanta Falcons,ESPN,2026-09-26 08:59:30.671283
Ronnie Stanley,OT,Toe,Out,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Chris Moore,WR,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Trey Hendrickson,LB,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Malaki Starks,S,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Zay Flowers,WR,Hamstring,Questionable,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Teddye Buchanan,LB,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
John Simpson,G,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Zion Young,LB,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Nnamdi Madubuike,DT,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Kyle Hamilton,S,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Roquan Smith,LB,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Elijah Sarratt,WR,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Devontez Walker,WR,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
LaJohntay Wester,WR,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Justice Hill,RB,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Mark Andrews,TE,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Andrew Vorhees,G,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Gerad Lichtenhan,OT,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Joe Fagnano,QB,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Tyler Loop,PK,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Rashod Bateman,WR,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Derrick Henry,RB,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Lamar Jackson,QB,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
T.J. Tampa,CB,Knee,IR,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Keondre Jackson,S,,Active,,Baltimore Ravens,ESPN,2026-09-26 08:59:30.671283
Jordan Hancock,CB,Hamstring,IR,,Buffalo Bills,ESPN,2026-09-26 08:59:30.671283
Greg Dortch,WR,,Active,,Buffalo Bills,ESPN,2026-09-26 08:59:30.671283
T.J. Sanders,DT,,Out,,Buffalo Bills,ESPN,2026-09-26 08:59:30.671283
Ed Oliver,DT,Hip,Questionable,,Buffalo Bills,ESPN,2026-09-26 08:59:30.671283
Ty Johnson,RB,,Active,,Buffalo Bills,ESPN,2026-09-26 08:59:30.671283
Keon Coleman,WR,Ankle,Questionable,,Buffalo Bills,ESPN,2026-09-26 08:59:30.671283
DJ Moore,WR,Shoulder - AC Joint,Questionable,,Buffalo Bills,ESPN,2026-09-26 08:59:30.671283
Ar'maj Reed-Adams,G,Elbow,Questionable,,Buffalo Bills,ESPN,2026-09-26 08:59:30.671283
Jude Bowry,OT,,Active,,Buffalo Bills,ESPN,2026-09-26 08:59:30.671283
Jalon Kilgore,S,,Active,,Buffalo Bills,ESPN,2026-09-26 08:59:30.671283
