season,week,game_id,home_team,away_team,player_name,prop_type,book,line,over_odds,under_odds
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Jared Goff,passing_yards,draftkings,265.5,-112,-112
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Josh Allen,passing_yards,draftkings,250.5,-113,-111
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Amon-Ra St. Brown,receiving_yards,draftkings,79.5,-113,-111
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,DJ Moore,receiving_yards,draftkings,57.5,-112,-112
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Jameson Williams,receiving_yards,draftkings,56.5,-114,-110
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Dalton Kincaid,receiving_yards,draftkings,50.5,-114,-110
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Sam LaPorta,receiving_yards,draftkings,45.5,-109,-115
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Khalil Shakir,receiving_yards,draftkings,43.5,-113,-111
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Jahmyr Gibbs,receiving_yards,draftkings,30.5,-109,-115
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Isaac TeSlaa,receiving_yards,draftkings,15.5,-116,-108
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Joshua Palmer,receiving_yards,draftkings,14.5,-111,-113
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Dawson Knox,receiving_yards,draftkings,13.5,-112,-112
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Keon Coleman,receiving_yards,draftkings,11.5,-112,-112
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Amon-Ra St. Brown,receptions,draftkings,7.5,-102,-125
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Sam LaPorta,receptions,draftkings,4.5,101,-129
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,DJ Moore,receptions,draftkings,4.5,112,-143
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Jahmyr Gibbs,receptions,draftkings,4.5,114,-145
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Khalil Shakir,receptions,draftkings,4.5,123,-157
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Jameson Williams,receptions,draftkings,3.5,-159,124
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Dalton Kincaid,receptions,draftkings,3.5,-155,121
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Isaac TeSlaa,receptions,draftkings,1.5,108,-137
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Dawson Knox,receptions,draftkings,1.5,123,-158
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Joshua Palmer,receptions,draftkings,1.5,152,-196
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Keon Coleman,receptions,draftkings,1.5,159,-205
2026,2,2026_02_DET_BUF,Buffalo Bills,Detroit Lions,Jahmyr Gibbs,rushing_yards,draftkings,89.5,-114,-110
