model_name,target,split,holdout_season,train_samples,test_samples,base_rate,accuracy,precision,recall,f1,roc_auc,ensemble,reliable,note
passing_yards_elite_qb,over_elite_qb,temporal,2025,3256,632,0.805379746835443,0.6471518987341772,0.29338842975206614,0.5772357723577236,0.38904109589041097,0.6538565975050713,True,False,No out-of-time edge over the base rate.
passing_yards_star_qb,over_star_qb,temporal,2025,3256,632,0.7041139240506329,0.6044303797468354,0.3902439024390244,0.5989304812834224,0.47257383966244726,0.6567806284924593,True,False,No out-of-time edge over the base rate.
passing_yards_good_qb,over_good_qb,temporal,2025,3256,632,0.6028481012658228,0.5965189873417721,0.4938650306748466,0.6414342629482072,0.5580589254766031,0.6502703098367685,True,False,No out-of-time edge over the base rate.
passing_yards_starter,over_starter,temporal,2025,3256,632,0.5079113924050633,0.6139240506329114,0.6037735849056604,0.6978193146417445,0.6473988439306358,0.6613827368252346,True,True,
passing_tds_elite_qb,over_elite_qb,temporal,2025,3256,632,0.8481012658227848,0.6629746835443038,0.2422907488986784,0.5729166666666666,0.34055727554179566,0.6887049129353234,True,False,"TD props are ~coin-flip out-of-time (all tiers collapse to the same 0.5 line); kept for display only, not a betting signal."
passing_tds_star_qb,over_star_qb,temporal,2025,3256,632,0.620253164556962,0.5743670886075949,0.45645645645645644,0.6333333333333333,0.5305410122164049,0.6183886054421769,True,False,"TD props are ~coin-flip out-of-time (all tiers collapse to the same 0.5 line); kept for display only, not a betting signal."
passing_tds_good_qb,over_good_qb,temporal,2025,3256,632,0.620253164556962,0.5743670886075949,0.45645645645645644,0.6333333333333333,0.5305410122164049,0.6183886054421769,True,False,"TD props are ~coin-flip out-of-time (all tiers collapse to the same 0.5 line); kept for display only, not a betting signal."
passing_tds_starter,over_starter,temporal,2025,3256,632,0.680379746835443,0.6645569620253164,0.7607655502392344,0.7395348837209302,0.75,0.6850909509555606,True,False,"TD props are ~coin-flip out-of-time (all tiers collapse to the same 0.5 line); kept for display only, not a betting signal."
rushing_yards_elite_rb,over_elite_rb,temporal,2025,11025,2159,0.8193608151922186,0.7804539138490042,0.43982808022922637,0.7871794871794872,0.5643382352941176,0.8601223347972924,True,False,No out-of-time edge over the base rate.
rushing_yards_star_rb,over_star_rb,temporal,2025,11025,2159,0.7670217693376563,0.779064381658175,0.5171503957783641,0.7793240556660039,0.6217287866772403,0.8619340718971197,True,True,
rushing_yards_good_rb,over_good_rb,temporal,2025,11025,2159,0.6984715145900879,0.776285317276517,0.6037037037037037,0.7511520737327189,0.6694045174537988,0.8568265716485961,True,True,
rushing_yards_starter,over_starter,temporal,2025,11025,2159,0.5868457619268179,0.7711903659101436,0.7153679653679653,0.7410313901345291,0.7279735682819384,0.8531093717371991,True,True,
